"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IDN","RENEWABLE","TOT","KTOE","A","1996",52193.229,
"IDN","RENEWABLE","TOT","KTOE","A","1997",53194.395,
"IDN","RENEWABLE","TOT","KTOE","A","1998",53924.171,
"IDN","RENEWABLE","TOT","KTOE","A","1999",54264.148,
"IDN","RENEWABLE","TOT","KTOE","A","2000",59223.527,
"IDN","RENEWABLE","TOT","KTOE","A","2001",61404.509,
"IDN","RENEWABLE","TOT","KTOE","A","2002",61879.261,
"IDN","RENEWABLE","TOT","KTOE","A","2003",62232.664,
"IDN","RENEWABLE","TOT","KTOE","A","2004",63031.158,
"IDN","RENEWABLE","TOT","KTOE","A","2005",62925.066,
"IDN","RENEWABLE","TOT","KTOE","A","2006",64072.271,
"IDN","RENEWABLE","TOT","KTOE","A","2007",64855.367,
"IDN","RENEWABLE","TOT","KTOE","A","2008",67590.673,
"IDN","RENEWABLE","TOT","KTOE","A","2009",69604.031,
"IDN","RENEWABLE","TOT","KTOE","A","2010",69666.79,
"IDN","RENEWABLE","TOT","KTOE","A","2011",70887.804,
"IDN","RENEWABLE","TOT","KTOE","A","2012",73965.968,
"IDN","RENEWABLE","TOT","KTOE","A","2013",75513.543,
"IDN","RENEWABLE","TOT","KTOE","A","2014",77649.293,
"IDN","RENEWABLE","TOT","KTOE","A","2015",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1960",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1961",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1962",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1963",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1964",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1965",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1966",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1967",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1968",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1969",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1970",,"L"
"IRN","RENEWABLE","TOT","KTOE","A","1971",377.28,
"IRN","RENEWABLE","TOT","KTOE","A","1972",438.306,
"IRN","RENEWABLE","TOT","KTOE","A","1973",391.298,
"IRN","RENEWABLE","TOT","KTOE","A","1974",453.08,
"IRN","RENEWABLE","TOT","KTOE","A","1975",461.448,
"IRN","RENEWABLE","TOT","KTOE","A","1976",501.679,
"IRN","RENEWABLE","TOT","KTOE","A","1977",528.69,
"IRN","RENEWABLE","TOT","KTOE","A","1978",686.21,
"IRN","RENEWABLE","TOT","KTOE","A","1979",603.32,
"IRN","RENEWABLE","TOT","KTOE","A","1980",621.084,
"IRN","RENEWABLE","TOT","KTOE","A","1981",704.215,
"IRN","RENEWABLE","TOT","KTOE","A","1982",723.441,
"IRN","RENEWABLE","TOT","KTOE","A","1983",718.552,
"IRN","RENEWABLE","TOT","KTOE","A","1984",695.474,
"IRN","RENEWABLE","TOT","KTOE","A","1985",709.055,
"IRN","RENEWABLE","TOT","KTOE","A","1986",879.173,
"IRN","RENEWABLE","TOT","KTOE","A","1987",916.186,
"IRN","RENEWABLE","TOT","KTOE","A","1988",878.005,
"IRN","RENEWABLE","TOT","KTOE","A","1989",845.597,
"IRN","RENEWABLE","TOT","KTOE","A","1990",740.876,
"IRN","RENEWABLE","TOT","KTOE","A","1991",831.36,
"IRN","RENEWABLE","TOT","KTOE","A","1992",1068.816,
"IRN","RENEWABLE","TOT","KTOE","A","1993",1114.24,
"IRN","RENEWABLE","TOT","KTOE","A","1994",927.188,
"IRN","RENEWABLE","TOT","KTOE","A","1995",893.388,
"IRN","RENEWABLE","TOT","KTOE","A","1996",907.61,
"IRN","RENEWABLE","TOT","KTOE","A","1997",841.165,
"IRN","RENEWABLE","TOT","KTOE","A","1998",802.713,
"IRN","RENEWABLE","TOT","KTOE","A","1999",601.763,
"IRN","RENEWABLE","TOT","KTOE","A","2000",470.105,
"IRN","RENEWABLE","TOT","KTOE","A","2001",580.008,
"IRN","RENEWABLE","TOT","KTOE","A","2002",802.961,
"IRN","RENEWABLE","TOT","KTOE","A","2003",1054.897,
"IRN","RENEWABLE","TOT","KTOE","A","2004",1010.165,
"IRN","RENEWABLE","TOT","KTOE","A","2005",1974.572,
"IRN","RENEWABLE","TOT","KTOE","A","2006",2165.492,
"IRN","RENEWABLE","TOT","KTOE","A","2007",2165.851,
"IRN","RENEWABLE","TOT","KTOE","A","2008",1062.072,
"IRN","RENEWABLE","TOT","KTOE","A","2009",1258.853,
"IRN","RENEWABLE","TOT","KTOE","A","2010",1451.483,
"IRN","RENEWABLE","TOT","KTOE","A","2011",1560.02,
"IRN","RENEWABLE","TOT","KTOE","A","2012",1595.751,
"IRN","RENEWABLE","TOT","KTOE","A","2013",1793.37,
"IRN","RENEWABLE","TOT","KTOE","A","2014",1739.56,
"IRN","RENEWABLE","TOT","KTOE","A","2015",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1960",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1961",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1962",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1963",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1964",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1965",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1966",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1967",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1968",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1969",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1970",,"L"
"ISR","RENEWABLE","TOT","KTOE","A","1971",3.725,
"ISR","RENEWABLE","TOT","KTOE","A","1972",3.725,
"ISR","RENEWABLE","TOT","KTOE","A","1973",3.033,
"ISR","RENEWABLE","TOT","KTOE","A","1974",2.555,
"ISR","RENEWABLE","TOT","KTOE","A","1975",2.794,
"ISR","RENEWABLE","TOT","KTOE","A","1976",2.555,
"ISR","RENEWABLE","TOT","KTOE","A","1977",2.555,
"ISR","RENEWABLE","TOT","KTOE","A","1978",2.555,
"ISR","RENEWABLE","TOT","KTOE","A","1979",2.555,
"ISR","RENEWABLE","TOT","KTOE","A","1980",2.555,
"ISR","RENEWABLE","TOT","KTOE","A","1981",2.727,
"ISR","RENEWABLE","TOT","KTOE","A","1982",2.727,
"ISR","RENEWABLE","TOT","KTOE","A","1983",2.641,
"ISR","RENEWABLE","TOT","KTOE","A","1984",2.727,
"ISR","RENEWABLE","TOT","KTOE","A","1985",233.551,
"ISR","RENEWABLE","TOT","KTOE","A","1986",297.87,
"ISR","RENEWABLE","TOT","KTOE","A","1987",314.213,
"ISR","RENEWABLE","TOT","KTOE","A","1988",329.783,
"ISR","RENEWABLE","TOT","KTOE","A","1989",342.865,
"ISR","RENEWABLE","TOT","KTOE","A","1990",361.395,
"ISR","RENEWABLE","TOT","KTOE","A","1991",382.644,
"ISR","RENEWABLE","TOT","KTOE","A","1992",404.271,
"ISR","RENEWABLE","TOT","KTOE","A","1993",425.476,
"ISR","RENEWABLE","TOT","KTOE","A","1994",444.737,
"ISR","RENEWABLE","TOT","KTOE","A","1995",469.87,
"ISR","RENEWABLE","TOT","KTOE","A","1996",492.732,
"ISR","RENEWABLE","TOT","KTOE","A","1997",520.299,
"ISR","RENEWABLE","TOT","KTOE","A","1998",547.327,
"ISR","RENEWABLE","TOT","KTOE","A","1999",549.925,
"ISR","RENEWABLE","TOT","KTOE","A","2000",607.232,
"ISR","RENEWABLE","TOT","KTOE","A","2001",636.064,
"ISR","RENEWABLE","TOT","KTOE","A","2002",668.379,
"ISR","RENEWABLE","TOT","KTOE","A","2003",702.184,
"ISR","RENEWABLE","TOT","KTOE","A","2004",736.227,
"ISR","RENEWABLE","TOT","KTOE","A","2005",736.227,
"ISR","RENEWABLE","TOT","KTOE","A","2006",746.486,
"ISR","RENEWABLE","TOT","KTOE","A","2007",758.005,
"ISR","RENEWABLE","TOT","KTOE","A","2008",1077.032,
"ISR","RENEWABLE","TOT","KTOE","A","2009",1069.611,
"ISR","RENEWABLE","TOT","KTOE","A","2010",1157.09,
"ISR","RENEWABLE","TOT","KTOE","A","2011",1147.696,
"ISR","RENEWABLE","TOT","KTOE","A","2012",1162.579,
"ISR","RENEWABLE","TOT","KTOE","A","2013",1164.899,
"ISR","RENEWABLE","TOT","KTOE","A","2014",1198.045,
"ISR","RENEWABLE","TOT","KTOE","A","2015",1239.497,
"KAZ","RENEWABLE","TOT","KTOE","A","1960",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1961",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1962",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1963",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1964",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1965",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1966",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1967",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1968",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1969",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1970",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1971",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1972",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1973",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1974",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1975",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1976",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1977",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1978",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1979",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1980",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1981",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1982",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1983",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1984",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1985",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1986",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1987",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1988",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1989",,"L"
"KAZ","RENEWABLE","TOT","KTOE","A","1990",748.1,
"KAZ","RENEWABLE","TOT","KTOE","A","1991",733.824,
"KAZ","RENEWABLE","TOT","KTOE","A","1992",705.1,
"KAZ","RENEWABLE","TOT","KTOE","A","1993",734.898,
"KAZ","RENEWABLE","TOT","KTOE","A","1994",865.81,
"KAZ","RENEWABLE","TOT","KTOE","A","1995",795.27,
"KAZ","RENEWABLE","TOT","KTOE","A","1996",704.494,
"KAZ","RENEWABLE","TOT","KTOE","A","1997",632.942,
"KAZ","RENEWABLE","TOT","KTOE","A","1998",601.414,
"KAZ","RENEWABLE","TOT","KTOE","A","1999",600.64,
"KAZ","RENEWABLE","TOT","KTOE","A","2000",720.954,
"KAZ","RENEWABLE","TOT","KTOE","A","2001",714.166,
"KAZ","RENEWABLE","TOT","KTOE","A","2002",787.25,
"KAZ","RENEWABLE","TOT","KTOE","A","2003",768.161,
"KAZ","RENEWABLE","TOT","KTOE","A","2004",713.916,
"KAZ","RENEWABLE","TOT","KTOE","A","2005",687.078,
"KAZ","RENEWABLE","TOT","KTOE","A","2006",688.489,
"KAZ","RENEWABLE","TOT","KTOE","A","2007",728.377,
"KAZ","RENEWABLE","TOT","KTOE","A","2008",711.409,
"KAZ","RENEWABLE","TOT","KTOE","A","2009",658.124,
"KAZ","RENEWABLE","TOT","KTOE","A","2010",740.279,
"KAZ","RENEWABLE","TOT","KTOE","A","2011",756.503,
"KAZ","RENEWABLE","TOT","KTOE","A","2012",716.501,
"KAZ","RENEWABLE","TOT","KTOE","A","2013",731.339,
"KAZ","RENEWABLE","TOT","KTOE","A","2014",733.792,
"KAZ","RENEWABLE","TOT","KTOE","A","2015",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1960",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1961",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1962",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1963",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1964",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1965",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1966",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1967",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1968",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1969",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1970",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1971",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1972",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1973",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1974",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1975",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1976",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1977",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1978",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1979",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1980",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1981",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1982",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1983",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1984",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1985",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1986",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1987",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1988",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1989",,"L"
"LVA","RENEWABLE","TOT","KTOE","A","1990",1045.29,
"LVA","RENEWABLE","TOT","KTOE","A","1991",1051.852,
"LVA","RENEWABLE","TOT","KTOE","A","1992",984.835,
"LVA","RENEWABLE","TOT","KTOE","A","1993",1102.718,
"LVA","RENEWABLE","TOT","KTOE","A","1994",1171.085,
"LVA","RENEWABLE","TOT","KTOE","A","1995",1257.978,
"LVA","RENEWABLE","TOT","KTOE","A","1996",1210.814,
"LVA","RENEWABLE","TOT","KTOE","A","1997",1307.525,
"LVA","RENEWABLE","TOT","KTOE","A","1998",1411.059,
"LVA","RENEWABLE","TOT","KTOE","A","1999",1257.834,
"LVA","RENEWABLE","TOT","KTOE","A","2000",1190.718,
"LVA","RENEWABLE","TOT","KTOE","A","2001",1301.946,
"LVA","RENEWABLE","TOT","KTOE","A","2002",1264.428,
"LVA","RENEWABLE","TOT","KTOE","A","2003",1317.28,
"LVA","RENEWABLE","TOT","KTOE","A","2004",1452.716,
"LVA","RENEWABLE","TOT","KTOE","A","2005",1476.164,
"LVA","RENEWABLE","TOT","KTOE","A","2006",1429.645,
"LVA","RENEWABLE","TOT","KTOE","A","2007",1407.308,
"LVA","RENEWABLE","TOT","KTOE","A","2008",1377.265,
"LVA","RENEWABLE","TOT","KTOE","A","2009",1566.516,
"LVA","RENEWABLE","TOT","KTOE","A","2010",1433.433,
"LVA","RENEWABLE","TOT","KTOE","A","2011",1417.989,
"LVA","RENEWABLE","TOT","KTOE","A","2012",1650.921,
"LVA","RENEWABLE","TOT","KTOE","A","2013",1611.155,
"LVA","RENEWABLE","TOT","KTOE","A","2014",1613.262,
"LVA","RENEWABLE","TOT","KTOE","A","2015",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1960",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1961",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1962",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1963",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1964",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1965",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1966",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1967",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1968",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1969",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1970",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1971",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1972",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1973",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1974",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1975",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1976",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1977",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1978",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1979",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1980",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1981",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1982",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1983",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1984",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1985",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1986",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1987",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1988",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1989",,"L"
"LTU","RENEWABLE","TOT","KTOE","A","1990",320.158,
"LTU","RENEWABLE","TOT","KTOE","A","1991",313.622,
"LTU","RENEWABLE","TOT","KTOE","A","1992",311.515,
"LTU","RENEWABLE","TOT","KTOE","A","1993",459.029,
"LTU","RENEWABLE","TOT","KTOE","A","1994",478.503,
"LTU","RENEWABLE","TOT","KTOE","A","1995",493.249,
"LTU","RENEWABLE","TOT","KTOE","A","1996",533.313,
"LTU","RENEWABLE","TOT","KTOE","A","1997",543.007,
"LTU","RENEWABLE","TOT","KTOE","A","1998",606.379,
"LTU","RENEWABLE","TOT","KTOE","A","1999",626.839,
"LTU","RENEWABLE","TOT","KTOE","A","2000",674.454,
"LTU","RENEWABLE","TOT","KTOE","A","2001",730.156,
"LTU","RENEWABLE","TOT","KTOE","A","2002",769.817,
"LTU","RENEWABLE","TOT","KTOE","A","2003",793.901,
"LTU","RENEWABLE","TOT","KTOE","A","2004",843.249,
"LTU","RENEWABLE","TOT","KTOE","A","2005",880.967,
"LTU","RENEWABLE","TOT","KTOE","A","2006",930.349,
"LTU","RENEWABLE","TOT","KTOE","A","2007",963.852,
"LTU","RENEWABLE","TOT","KTOE","A","2008",1020.932,
"LTU","RENEWABLE","TOT","KTOE","A","2009",1052.063,
"LTU","RENEWABLE","TOT","KTOE","A","2010",1063.247,
"LTU","RENEWABLE","TOT","KTOE","A","2011",1055.793,
"LTU","RENEWABLE","TOT","KTOE","A","2012",1161.159,
"LTU","RENEWABLE","TOT","KTOE","A","2013",1212.733,
"LTU","RENEWABLE","TOT","KTOE","A","2014",1277.475,
"LTU","RENEWABLE","TOT","KTOE","A","2015",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1960",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1961",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1962",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1963",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1964",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1965",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1966",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1967",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1968",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1969",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1970",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1971",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1972",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1973",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1974",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1975",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1976",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1977",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1978",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1979",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1980",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1981",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1982",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1983",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1984",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1985",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1986",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1987",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1988",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1989",,"L"
"MKD","RENEWABLE","TOT","KTOE","A","1990",42.226,
"MKD","RENEWABLE","TOT","KTOE","A","1991",72.928,
"MKD","RENEWABLE","TOT","KTOE","A","1992",260.243,
"MKD","RENEWABLE","TOT","KTOE","A","1993",249.018,
"MKD","RENEWABLE","TOT","KTOE","A","1994",259.001,
"MKD","RENEWABLE","TOT","KTOE","A","1995",270.146,
"MKD","RENEWABLE","TOT","KTOE","A","1996",271.638,
"MKD","RENEWABLE","TOT","KTOE","A","1997",276.272,
"MKD","RENEWABLE","TOT","KTOE","A","1998",264.071,
"MKD","RENEWABLE","TOT","KTOE","A","1999",315.151,
"MKD","RENEWABLE","TOT","KTOE","A","2000",328.674,
"MKD","RENEWABLE","TOT","KTOE","A","2001",225.605,
"MKD","RENEWABLE","TOT","KTOE","A","2002",224.979,
"MKD","RENEWABLE","TOT","KTOE","A","2003",302.327,
"MKD","RENEWABLE","TOT","KTOE","A","2004",310.062,
"MKD","RENEWABLE","TOT","KTOE","A","2005",292.797,
"MKD","RENEWABLE","TOT","KTOE","A","2006",317.896,
"MKD","RENEWABLE","TOT","KTOE","A","2007",237.137,
"MKD","RENEWABLE","TOT","KTOE","A","2008",253.843,
"MKD","RENEWABLE","TOT","KTOE","A","2009",314.407,
"MKD","RENEWABLE","TOT","KTOE","A","2010",420.447,
"MKD","RENEWABLE","TOT","KTOE","A","2011",327.159,
"MKD","RENEWABLE","TOT","KTOE","A","2012",297.727,
"MKD","RENEWABLE","TOT","KTOE","A","2013",299.377,
"MKD","RENEWABLE","TOT","KTOE","A","2014",288.875,
"MKD","RENEWABLE","TOT","KTOE","A","2015",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1960",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1961",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1962",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1963",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1964",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1965",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1966",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1967",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1968",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1969",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1970",,"L"
"MYS","RENEWABLE","TOT","KTOE","A","1971",1499.161,
"MYS","RENEWABLE","TOT","KTOE","A","1972",1546.988,
"MYS","RENEWABLE","TOT","KTOE","A","1973",1561.61,
"MYS","RENEWABLE","TOT","KTOE","A","1974",1583.259,
"MYS","RENEWABLE","TOT","KTOE","A","1975",1615.217,
"MYS","RENEWABLE","TOT","KTOE","A","1976",1619.171,
"MYS","RENEWABLE","TOT","KTOE","A","1977",1615.18,
"MYS","RENEWABLE","TOT","KTOE","A","1978",1655.455,
"MYS","RENEWABLE","TOT","KTOE","A","1979",1679.474,
"MYS","RENEWABLE","TOT","KTOE","A","1980",1716.582,
"MYS","RENEWABLE","TOT","KTOE","A","1981",1761.293,
"MYS","RENEWABLE","TOT","KTOE","A","1982",1783.676,
"MYS","RENEWABLE","TOT","KTOE","A","1983",1827.608,
"MYS","RENEWABLE","TOT","KTOE","A","1984",1996.938,
"MYS","RENEWABLE","TOT","KTOE","A","1985",2050.091,
"MYS","RENEWABLE","TOT","KTOE","A","1986",2106.163,
"MYS","RENEWABLE","TOT","KTOE","A","1987",2203.422,
"MYS","RENEWABLE","TOT","KTOE","A","1988",2297.476,
"MYS","RENEWABLE","TOT","KTOE","A","1989",2288.937,
"MYS","RENEWABLE","TOT","KTOE","A","1990",2207.834,
"MYS","RENEWABLE","TOT","KTOE","A","1991",2242.698,
"MYS","RENEWABLE","TOT","KTOE","A","1992",2242.041,
"MYS","RENEWABLE","TOT","KTOE","A","1993",2293.798,
"MYS","RENEWABLE","TOT","KTOE","A","1994",2432.559,
"MYS","RENEWABLE","TOT","KTOE","A","1995",2404.715,
"MYS","RENEWABLE","TOT","KTOE","A","1996",2317.257,
"MYS","RENEWABLE","TOT","KTOE","A","1997",2204.946,
"MYS","RENEWABLE","TOT","KTOE","A","1998",2288.276,
"MYS","RENEWABLE","TOT","KTOE","A","1999",2513.409,
"MYS","RENEWABLE","TOT","KTOE","A","2000",2457.528,
"MYS","RENEWABLE","TOT","KTOE","A","2001",2453.262,
"MYS","RENEWABLE","TOT","KTOE","A","2002",2301.474,
"MYS","RENEWABLE","TOT","KTOE","A","2003",2276.216,
"MYS","RENEWABLE","TOT","KTOE","A","2004",2337.636,
"MYS","RENEWABLE","TOT","KTOE","A","2005",2277.402,
"MYS","RENEWABLE","TOT","KTOE","A","2006",2384.407,
"MYS","RENEWABLE","TOT","KTOE","A","2007",2405.599,
"MYS","RENEWABLE","TOT","KTOE","A","2008",2491.992,
"MYS","RENEWABLE","TOT","KTOE","A","2009",2403.763,
"MYS","RENEWABLE","TOT","KTOE","A","2010",2289.215,
"MYS","RENEWABLE","TOT","KTOE","A","2011",2407.274,
"MYS","RENEWABLE","TOT","KTOE","A","2012",2527.312,
"MYS","RENEWABLE","TOT","KTOE","A","2013",2832.798,
"MYS","RENEWABLE","TOT","KTOE","A","2014",3023.656,
"MYS","RENEWABLE","TOT","KTOE","A","2015",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1960",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1961",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1962",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1963",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1964",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1965",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1966",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1967",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1968",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1969",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1970",,"L"
"MLT","RENEWABLE","TOT","KTOE","A","1971",0,
"MLT","RENEWABLE","TOT","KTOE","A","1972",0,
"MLT","RENEWABLE","TOT","KTOE","A","1973",0,
"MLT","RENEWABLE","TOT","KTOE","A","1974",0,
"MLT","RENEWABLE","TOT","KTOE","A","1975",0,
"MLT","RENEWABLE","TOT","KTOE","A","1976",0,
"MLT","RENEWABLE","TOT","KTOE","A","1977",0,
"MLT","RENEWABLE","TOT","KTOE","A","1978",0,
